MHA.code;BPS.code;GEO.code;Province;Regency.City;IRBI.2018;IRBI.2019;IRBI.2020;IRBI.2021;Prod.2018;Prod.2019;Prod.2020;Prod.2021
1101;1103;60700;Aceh;Aceh Selatan;171.2;171.2;171.2;171.2;62.29;51.1;54;50.21
1102;1104;60800;Aceh;Aceh Tenggara;131.2;131.2;127.23;120.03;65.45;66.4;63.72;61.59
1103;1105;60400;Aceh;Aceh Timur;188.8;188.8;176.05;166.74;56.4;44.85;49.19;50.45
1104;1106;60500;Aceh;Aceh Tengah;124.8;124.8;124.8;124.8;60.38;51.25;47.53;47.16
1105;1107;60600;Aceh;Aceh Barat;203.2;203.2;189.04;179.15;45.17;42.83;45.54;51.39
1106;1108;60100;Aceh;Aceh Besar;211.2;211.2;211.2;209.78;59.29;57.05;54.8;57.35
1107;1109;60200;Aceh;Pidie;163.2;163.2;163.2;163.2;63.52;61.93;63.4;56.57
1108;1111;60300;Aceh;Aceh Utara;175.2;175.2;175.2;175.2;52.25;54.89;53.67;57.7
1109;1101;61100;Aceh;Simeulue;162;162;162;162;33.2;32.97;31.38;29.94
1110;1102;61300;Aceh;Aceh Singkil;178;178;178;178;56.16;55.38;50.97;51.76
1111;1110;61200;Aceh;Bireuen;168;168;168;168;61.44;63.7;66.01;61.32
1112;1112;61700;Aceh;Aceh Barat Daya;183.2;183.2;183.2;183.2;61.61;69.52;57.09;54.58
1113;1113;61800;Aceh;Gayo Lues;107.2;107.2;101.41;97.59;46.34;49.47;55.32;60.35
1114;1116;61600;Aceh;Aceh Jaya;197.6;197.6;178.8;165;53.26;51.46;58.41;49.6
1115;1115;61500;Aceh;Nagan Raya;203.2;203.2;203.2;200.08;55.21;51.52;44.03;46.07
1116;1114;61400;Aceh;Aceh Tamiang;155.2;155.2;146.52;139.2;48.16;48.11;46.75;48.75
1117;1117;61900;Aceh;Bener Meriah;123.2;123.2;123.2;119.36;50.43;55.44;54;46.57
1118;1118;62000;Aceh;Pidie Jaya;137.6;137.6;137.6;137.6;61.42;59.04;62.58;60.35
1171;1171;66100;Aceh;Kota Banda Aceh;145.83;145.83;127.31;117.02;54.89;52.35;52.96;53.31
